food_id,nutrient_id,source,source_food_id,source_food,param,value,n,min,max,cv_wan,source_refs
10031,1095,FCDB 6.1,1230,"Egg, chicken, yolk, raw",Zinc,3.735625,16,3.38,4.48,0.083237,2071
10031,1098,FCDB 6.1,1230,"Egg, chicken, yolk, raw",Copper,0.138125,16,0.13,0.18,0.102325,2071
10031,1100,FCDB 6.1,1230,"Egg, chicken, yolk, raw",Iodine,71.9375,16,52.0,116.0,0.251484,2071
10031,1101,FCDB 6.1,1230,"Egg, chicken, yolk, raw",Manganese,0.116875,16,0.09,0.16,0.169302,2071
10031,1103,FCDB 6.1,1230,"Egg, chicken, yolk, raw",Selenium,42.375,16,28.0,58.0,0.200123,2071
10031,1106,FCDB 6.1,1230,"Egg, chicken, yolk, raw",Retinol,595.4375,16,504.0,663.0,0.075482,2071
10031,1109,FCDB 6.1,1230,"Egg, chicken, yolk, raw",alpha-Tocopherol,10.10625,16,7.1,15.9,0.246137,2071
10031,1110,FCDB 6.1,1230,"Egg, chicken, yolk, raw",Vitamin D3,3.948,5,3.6,4.52,0.098761,2071
10031,1165,FCDB 6.1,1230,"Egg, chicken, yolk, raw",Thiamin (Vitamin B1),0.216875,16,0.17,0.25,0.104272,2071
10031,1166,FCDB 6.1,1230,"Egg, chicken, yolk, raw",Riboflavin (Vitamin B2),0.575,16,0.43,0.66,0.113069,2071
10031,1167,FCDB 6.1,1230,"Egg, chicken, yolk, raw",Niacin,0.0344444444444445,9,0.03,0.04,0.097153,2071
10031,1170,FCDB 6.1,1230,"Egg, chicken, yolk, raw",Pantothenic acid,4.796875,16,3.33,6.74,0.200947,2071
10031,1175,FCDB 6.1,1230,"Egg, chicken, yolk, raw",Vitamin B6,0.32875,16,0.28,0.37,0.077386,2071
10031,1176,FCDB 6.1,1230,"Egg, chicken, yolk, raw",Biotin,47.13125,16,44.6,48.6,0.02399,2071
10031,1177,FCDB 6.1,1230,"Egg, chicken, yolk, raw",Folate,51.0,4,29.0,71.0,0.392482,1374
10031,1178,FCDB 6.1,1230,"Egg, chicken, yolk, raw",Vitamin B12,3.4175,16,1.94,5.27,0.275436,2071
10037,1003,FCDB 6.1,739,"Pork, loin, lean, raw",Protein,22.34,42,20.4542857142857,23.6542857142857,0.03292,"1832, 1336"
10037,1004,FCDB 6.1,739,"Pork, loin, lean, raw",Fat,1.9,18,0.6,4.0,0.491142,1832
10037,1051,FCDB 6.1,739,"Pork, loin, lean, raw",Water,74.7,18,73.0,76.7,0.013594,1832
10037,1089,FCDB 6.1,739,"Pork, loin, lean, raw",Iron,0.71,4,0.64,0.79,0.100687,1032
10037,1091,FCDB 6.1,739,"Pork, loin, lean, raw",Phosphorus,195.0,4,190.0,200.0,0.02444,1032
10037,1165,FCDB 6.1,739,"Pork, loin, lean, raw",Thiamin (Vitamin B1),0.81,4,0.63,1.02,0.229467,1032
10037,1166,FCDB 6.1,739,"Pork, loin, lean, raw",Riboflavin (Vitamin B2),0.195,4,0.19,0.2,0.02444,1032
10037,1176,FCDB 6.1,739,"Pork, loin, lean, raw",Biotin,2.6,4,1.4,4.8,0.623226,1071
10037,1177,FCDB 6.1,739,"Pork, loin, lean, raw",Folate,2.1,4,0.8,4.6,0.862391,1071
10038,1003,FCDB 6.1,789,"Pork, hand, lean, raw",Protein,19.6285714285714,42,18.6,21.2,0.030442,"1832, 1336"
10038,1004,FCDB 6.1,789,"Pork, hand, lean, raw",Fat,5.3,18,3.1,7.4,0.222676,1832
10038,1051,FCDB 6.1,789,"Pork, hand, lean, raw",Water,74.0,18,72.0,76.1,0.015207,1832
10038,1176,FCDB 6.1,789,"Pork, hand, lean, raw",Biotin,2.6,4,1.4,4.8,0.623226,1071
10038,1177,FCDB 6.1,789,"Pork, hand, lean, raw",Folate,2.1,4,0.8,4.6,0.862391,1071
10050,1087,FCDB 6.1,641,"Heart, beef, raw",Calcium,3.95,6,3.32,4.84,0.150134,1015
10050,1090,FCDB 6.1,641,"Heart, beef, raw",Magnesium,17.0,4,15.0,20.0,0.140172,1348
10050,1091,FCDB 6.1,641,"Heart, beef, raw",Phosphorus,214.0,6,194.0,230.0,0.065633,1015
10055,1003,FCDB 6.1,1019,"Beef, chuck, raw",Protein,18.8333333333333,6,17.6041666666667,20.2291666666667,0.05438,2176
10055,1004,FCDB 6.1,1019,"Beef, chuck, raw",Fat,13.1166666666667,6,9.2,15.4,0.184417,2176
10055,1007,FCDB 6.1,1019,"Beef, chuck, raw",Ash,0.876666666666667,6,0.83,0.98,0.066756,2176
10055,1051,FCDB 6.1,1019,"Beef, chuck, raw",Water,67.1733333333333,6,64.15,71.26,0.041296,2176
10055,1087,FCDB 6.1,1019,"Beef, chuck, raw",Calcium,5.27,6,3.96,7.79,0.283545,1015
10055,1091,FCDB 6.1,1019,"Beef, chuck, raw",Phosphorus,175.0,6,163.0,184.0,0.046818,1015
10055,1101,FCDB 6.1,1019,"Beef, chuck, raw",Manganese,0.011,32,0.006,0.016,0.219935,1348
